name,cloneof,description,year,manufacturer
multchmp,,"Multi Champ (World, ver. 2.5)",1999,ESD
multchmpk,multchmp,Multi Champ (Korea),1998,ESD
hedpanic,,"Head Panic (ver. 0117, 17-01-2000)",2000,ESD
hedpanicf,hedpanic,"Head Panic (ver. 0315, 15-03-2000)",2000,ESD
hedpanico,hedpanic,"Head Panic (ver. 0615, 15-06-1999)",1999,ESD
mchampdx,,"Multi Champ Deluxe (ver. 0106, 06-01-2000)",2000,ESD
mchampdxa,mchampdx,"Multi Champ Deluxe (ver. 1126, 26-11-1999)",1999,ESD
deluxe5,,"Deluxe 5 (ver. 0107, 07-01-2000)",2000,ESD
tangtang,,"Tang Tang (ver. 0526, 26-05-2000)",2000,ESD
swatpolc,,SWAT Police,2001,ESD
royalmah,,Royal Mahjong (Japan),1982,Falcon
suzume,,Watashiha Suzumechan (Japan),1986,Dyna Electronics
hnayayoi,,Hana Yayoi (Japan),1987,Dyna Electronics
dondenmj,,Don Den Mahjong [BET] (Japan),1986,Dyna Electronics
hnfubuki,hnayayoi,Hana Fubuki [BET] (Japan),1987,Dynax
mjdiplob,,Mahjong Diplomat [BET] (Japan),1987,Dynax
untoucha,,Untouchable (Japan),1987,Dynax
tontonb,,Tonton [BET] (Japan),1987,Dynax
hanamai,,Hana no Mai (Japan),1988,Dynax
majs101b,,Mahjong Studio 101 [BET] (Japan),1988,Dynax
hnkochou,hanamai,Hana Kochou [BET] (Japan),1989,Dynax
mjderngr,,Mahjong Derringer (Japan),1989,Dynax
hnoridur,,Hana Oriduru (Japan),1989,Dynax
drgpunch,,Dragon Punch (Japan),1989,Dynax
mjfriday,,Mahjong Friday (Japan),1989,Dynax
mjifb,,Mahjong If [BET] (Japan),1990,Dynax
sprtmtch,drgpunch,Sports Match,1989,Dynax (Fabtek license)
maya,,Maya,1994,Promat
inca,maya,Inca,199?,unknown
roldfrog,,The Return of Lady Frog,1993,Microhard
roldfrga,roldfrog,The Return of Lady Frog (set 2),1993,Microhard
mcnpshnt,,Mahjong Campus Hunting (Japan),1990,Dynax
7jigen,,7jigen no Youseitachi - Mahjong 7 Dimensions (Japan),1990,Dynax
mjdialq2,,Mahjong Dial Q2 (Japan),1991,Dynax
yarunara,,Mahjong Yarunara (Japan),1991,Dynax
mjangels,,Mahjong Angels - Comic Theater Vol.2 (Japan),1991,Dynax
quiztvqq,,Quiz TV Gassyuukoku QandQ (Japan),1992,Dynax
mmpanic,,Monkey Mole Panic (USA),1992,Nakanihon + East Technology (Taito license)
quizchq,,Quiz Channel Question (Ver 1.00) (Japan),1993,Nakanihon
quizchql,quizchq,Quiz Channel Question (Ver 1.23) (Taiwan[Q]),1993,Nakanihon (Laxan license)
quiz365,,Quiz 365 (Hong Kong and Taiwan),1994,Nakanihon
rongrong,,Rong Rong (Germany),1994,Nakanihon
nettoqc,,Nettoh Quiz Champion (Japan),1995,Nakanihon
ddenlovr,,Don Den Lover Vol. 1 (Hong Kong),1996,Dynax
hanakanz,,Hanakanzashi (Japan),1996,Dynax
realbrk,,Billiard Academy Real Break (Japan),1998,Nakanihon
nyny,,New York New York,1980,Sigma Enterprises Inc.
nynyg,nyny,New York New York (Gottlieb),1980,Sigma Enterprises Inc. (Gottlieb license)
arcadia,nyny,Waga Seishun no Arcadia,1980,Sigma Enterprises Inc.
r2dtank,,R2D Tank,1980,Sigma Enterprises Inc.
spiders,,Spiders (set 1),1981,Sigma Enterprises Inc.
spiders2,spiders,Spiders (set 2),1981,Sigma Enterprises Inc.
iqblock,,IQ-Block,1993,IGS
grndtour,,Grand Tour,1993,IGS
cabaret,,Cabaret,19??,IGS
drgnwrld,,"Dragon World (World, V040O)",1997,IGS
vbowl,,"Virtua Bowling (World, V101XCM )",1996,Alta / IGS
vbowlj,vbowl,"Virtua Bowling (Japan, V100JCM)",1996,Alta / IGS
grtwall,,The Great Wall,1994,IGS
orlegend,,Oriental Legend - Xi Yo Gi Shi Re Zuang (ver. 126),1997,IGS
orlegnde,orlegend,Oriental Legend - Xi Yo Gi Shi Re Zuang (ver. 112),1997,IGS
orlegndc,orlegend,"Oriental Legend - Xi Yo Gi Shi Re Zuang (ver. 112, Chinese Board)",1997,IGS
olds,,"Oriental Legend Special - Xi You Shi E Zhuan Super (ver. 101, Korean Board)",1998,IGS
olds103t,olds,"Oriental Legend Special - Xi You Shi E Zhuan Super (ver. 103, China, Tencent) (unprotected)",1998,IGS
dragwld2,,"Zhong Guo Long II (ver. 100C, China)",1997,IGS
killbld,,"The Killing Blade (ver. 109, Chinese Board)",1998,IGS
kov,,Knights of Valour - Sangoku Senki (ver. 117),1999,IGS
kovplus,kov,Knights of Valour Plus - Sangoku Senki Plus (ver. 119),1999,IGS
kov115,kov,Knights of Valour - Sangoku Senki (ver. 115),1999,IGS
kovsh,kov,Knights of Valour Superheroes - Sangoku Senki Superheroes (ver. 322),1999,IGS
photoy2k,,Photo Y2K,1999,IGS
puzlstar,,Puzzle Star,1999,IGS
hitme,,Hit Me,1976,RamTek
mblkjack,hitme,Black Jack (Mirco),197?,Mirco
barricad,,Barricade,1976,RamTek
brickyrd,barricad,Brickyard,1976,RamTek
starcrus,,Star Cruiser,1977,RamTek
battlex,,Battle Cross,1982,Omori Electric
dodgeman,,Dodge Man,1983,Omori Electric
carjmbre,,Car Jamboree,1983,"Omori Electric Co., Ltd."
popper,,Popper,1983,"Omori Electric Co., Ltd."
speedspn,,Speed Spin,1994,TCH
kickgoal,,Kick Goal,1995,TCH
actionhw,,Action Hollywood,1995,TCH
usg32,,Super Duper Casino (California V3.2),1987,U.S. Games
usg82,usg83,Super Ten V8.2,1988,U.S. Games
usg83,,Super Ten V8.3,1988,U.S. Games
usg83x,usg83,Super Ten V8.3X,1988,U.S. Games
usg185,,Games V18.7C,1991,U.S. Games
usg252,,Games V25.4X,1992,U.S. Games
mermaid,,Mermaid,1982,[Sanritsu] Rock-ola
rougien,,Rougien,1982,Sanritsu
drmicro,,Dr. Micro,1983,Sanritsu
appoooh,,Appoooh,1984,[Sanritsu] Sega
bankp,,Bank Panic,1984,[Sanritsu] Sega
combh,,Combat Hawk,1987,Sega / Sanritsu
mjkjidai,,Mahjong Kyou Jidai (Japan),1986,Sanritsu
mayumi,,Kikiippatsu Mayumi-chan (Japan),1988,[Sanritsu] Victory L.L.C.
btoads,,Battle Toads,1994,Rare
kinst,,Killer Instinct (v1.0),1994,Rare
kinst2,,Killer Instinct 2 (v2.1),1994,Rare
gigasb,,Gigas (bootleg),1986,bootleg
gigasm2b,,Gigas Mark II (bootleg),1986,bootleg
oigas,gigasb,Oigas (bootleg),1986,bootleg
pbillrd,,Perfect Billiard,1987,Nihon System
pbillrds,pbillrd,Perfect Billiard (Sega),1987,Nihon System
freekick,,Free Kick,1987,Nihon System (Sega license)
freekckb,freekick,Free Kick (bootleg),1987,bootleg
countrun,,Counter Run,1988,Nihon System (Sega license)
countrnb,countrun,Counter Run (bootleg set 1),1988,bootleg
countrb2,countrun,Counter Run (bootleg set 2),1988,bootleg
rmhaihai,,Real Mahjong Haihai (Japan),1985,Alba
rmhaihib,rmhaihai,Real Mahjong Haihai [BET] (Japan),1985,Alba
rmhaijin,,Real Mahjong Haihai Jinji Idou Hen (Japan),1986,Alba
rmhaisei,,Real Mahjong Haihai Seichouhen (Japan),1986,Visco
themj,,The Mah-jong (Japan),1987,Visco
hanaroku,,Hanaroku,1988,Alba
yumefuda,,Yumefuda [BET],199?,Alba
hourouki,,Mahjong Hourouki Part 1 - Seisyun Hen (Japan),1987,Home Data
mhgaiden,,Mahjong Hourouki Gaiden (Japan),1987,Home Data
mjhokite,,Mahjong Hourouki Okite (Japan),1988,Home Data
mjclinic,,Mahjong Clinic (Japan),1988,Home Data
mrokumei,,Mahjong Rokumeikan (Japan),1988,Home Data
reikaids,,Reikai Doushi (Japan),1988,Home Data
mjkojink,,Mahjong Kojinkyouju (Private Teacher) (Japan),1989,Home Data
vitaminc,,Mahjong Vitamin C (Japan),1989,Home Data
mjyougo,,Mahjong-yougo no Kisotairyoku (Japan),1989,Home Data
lemnangl,,Mahjong Lemon Angel (Japan),1990,Home Data
mjkinjas,,Mahjong Kinjirareta Asobi (Japan),1991,Home Data
battlcry,,Battlecry,1991,Home Data
jogakuen,,Mahjong Jogakuen (Japan),1992?,Windom
mjikaga,,Mahjong Ikaga Desu ka (Japan),1991?,Mitchell
ultennis,,Ultimate Tennis,1993,Art and Magic
cheesech,,Cheese Chase,1994,Art and Magic
stonebal,,Stone Ball (4 Players),1994,Art and Magic
stoneba2,stonebal,Stone Ball (2 Players),1994,Art and Magic
dynamski,,Dynamic Ski,1984,Taiyo
chinhero,,Chinese Hero,1984,Taiyo
chinher2,chinhero,Chinese Hero (older),1984,Taiyo
shangkid,,Shanghai Kid,1985,Taiyo (Data East license)
hiryuken,shangkid,Hokuha Syourin Hiryu no Ken,1985,[Nihon Game] (Taito license)
astinvad,,Astro Invader,1980,Stern
kamikaze,astinvad,Kamikaze,1979,Leijac
spcking2,,Space King 2,1979,Konami
spaceint,,Space Intruder,1980,Shoei
spacefb,,Space Firebird (Nintendo),1980,Nintendo
spacefbg,spacefb,Space Firebird (Gremlin),1980,Gremlin
spacefbb,spacefb,Space Firebird (bootleg),1980,bootleg
spacebrd,spacefb,Space Bird (bootleg),1980,bootleg
spacedem,spacefb,Space Demon,1980,Nintendo (Fortrek license)
omegrace,,Omega Race,1981,Midway
deltrace,omegrace,Delta Race,1981,Allied Leisure
dday,,D-Day,1982,Olympia
ddayc,dday,D-Day (Centuri),1982,Olympia (Centuri license)
hexa,,Hexa,1986?,D. R. Korea
stactics,,Space Tactics,1981,Sega
exterm,,Exterminator,1989,Gottlieb / Premier Technology
kingofb,,King of Boxer (English),1985,Woodplace
ringking,kingofb,Ring King (US set 1),1985,Data East USA
ringkin2,kingofb,Ring King (US set 2),1985,Data East USA
ringkin3,kingofb,Ring King (US set 3),1985,Data East USA
ambush,,Ambush,1983,Nippon Amuse Co-Ltd
ambusht,ambush,Ambush (Tecfri),1983,Tecfri
homo,goindol,Homo,1987,bootleg
dlair,,Dragon's Lair,1983,Cinematronics
aztarac,,Aztarac,1983,Centuri
